,Number of steps,Surface coverage,Schwoebel barrier,Desorption probability,Regime,Growth rate,Rms
5376,7.0,0.0554,0.563623,0.00125368,0.0,0.00319072178431916,0.45370176086270564
5377,7.0,0.0551,0.901637,0.03683158,0.0,0.0038122616425894772,0.4510822792000813
5378,7.0,0.0563,0.096058,0.00643047,0.0,0.004288309169580184,0.4508911370210177
5379,7.0,0.0563,0.128497,0.36017426,1.0,0.027338022393318336,0.45612328511194733
5380,7.0,0.0561,0.137309,0.84192416,0.0,0.009177116193854739,0.4521627085038614
5381,7.0,0.056,0.68974,0.02416806,1.0,0.012255966142037139,0.45761826273983525
5382,7.0,0.0559,0.828463,0.08751256,1.0,0.01675740900957198,0.4565327956902115
5383,7.0,0.0565,0.298679,1.28e-06,1.0,0.005272556671943293,0.454044017303333
5384,7.0,0.0571,0.580731,1.51e-06,2.0,0.08580780029296871,0.6261568489084027
5385,7.0,0.057,0.644313,3.69e-05,2.0,0.08406196876808446,0.6209668912329767
5386,7.0,0.0571,0.722435,1.61e-06,0.0,0.0028144235861196796,0.4530558623945375
5387,7.0,0.0573,0.728392,0.02108935,0.0,0.004229609542268321,0.4515310682134371
5388,7.0,0.0577,0.738305,0.00210411,1.0,0.0067118653055529874,0.45306309848054016
5389,7.0,0.0579,0.842359,0.00166959,1.0,0.006424539638330183,0.45590627380241333
5390,7.0,0.0583,0.893405,0.02680332,0.0,0.00386488889466218,0.451765994322071
5391,7.0,0.0595,0.201144,5.869e-05,1.0,0.005676847852701312,0.4538512444185926
5392,7.0,0.0608,0.127937,0.00082428,2.0,0.10144471149055322,0.5752756116564302
5393,7.0,0.0615,0.405564,0.00075176,2.0,0.1034448918378735,0.5939747392098037
5394,7.0,0.0607,0.502704,0.04411935,0.0,0.0056129210891945665,0.44965249195556817
5395,7.0,0.0613,0.690919,0.04945324,2.0,0.07906074635141441,0.6828120290097419
5396,7.0,0.0609,0.899372,0.00062601,0.0,0.00265954465282203,0.4485598694750967
5397,7.0,0.0616,0.137246,0.00066093,2.0,0.10549558633965579,0.5730778206945502
5398,7.0,0.062,0.588086,0.00697957,2.0,0.09293024046427997,0.6075374130669118
5399,7.0,0.0629,0.010803,1.323e-05,1.0,0.00601131783977538,0.45334822769495164
5400,7.0,0.0626,0.337323,0.00087822,2.0,0.10829529609346525,0.5872018315175571
5401,7.0,0.0633,0.359067,0.00042898,1.0,0.006452921875711741,0.4534138169813078
5402,7.0,0.0634,0.786274,0.61498717,2.0,0.09672709873744416,0.6964977451506945
5403,7.0,0.0634,0.943987,1.45e-06,1.0,0.006137770049425983,0.47241002108262
5404,7.0,0.0636,0.01509,0.06034544,1.0,0.02054688256266509,0.45676594598158843
5405,7.0,0.0638,0.149989,1.29e-06,2.0,0.11766453734639779,0.5841460909994551
5406,7.0,0.0637,0.195839,0.14871406,1.0,0.026424619268745408,0.4532058840713497
5407,7.0,0.0642,0.199837,0.07662021,0.0,0.007043221254042874,0.45511490071351524
5408,7.0,0.0635,0.537029,0.02457226,2.0,0.08827358501645632,0.6264831972362053
5409,7.0,0.0637,0.595428,0.09299307,2.0,0.090918382472269,0.6995445742124408
